Subject,Noun,Object,Verb
ငါ့ကို,ကြေးနန်း,-,ရေးပေးပါ
ငါ့ကို,ကြေးနန်း,-,ရေးပေး
ငါ့ကို,ကျေးနန်း,-,ရေးပေးပါ
ငါ့ကို,ကျေးနန်း,-,ရေးပေး
ငါ့ကို,ကျေနပ်,-,ရေးပေးပါ
ငါ့ကို,ကျေနပ်,-,ရေးပေး
ငါိ့ကို,တပ်ရင်းမှူးနာမည်,-,ပြောပြပေးပါ
-,တပ်ရင်းမှူးနာမည်တွေ,-,သိချင်တယ်
-,တပ်ရင်းမှူးနာမည်,-,ပြောပြ
-,တပ်ရင်းမှူးနာမည်,-,ပြော
-,တပ်ရင်းမှူး,-,ပြောပြ
-,တပ်ရင်းမှူး,-,ပြော
-,ကြေးနန်း,-,ရေးပေးပါ
-,ကြေးနန်း,-,ရေးပေး
-,ကြေးနန်း,-,ရေး
-,ကျေနပ်,-,ရေးပေး
-,ကျေနပ်,-,ရေး
-,ကျေနပ်,-,ရေးပေးပါ
ငါိ့ကို,မြေပုံ,-,ပြပါ
ငါိ့ကို,မြေပုံ,-,ပြ
ငါိ့ကို,မြေပုံ,-,ပြပေးပါဦး
ငါိ့ကို,မြေပုံ,-,ပြပေးပါ
ငါိ့ကို,မြေပုံကို,-,ပြပေးပါဦး
ငါိ့ကို,မြေပုံ,-,ပြပါ
ငါ့ကို,မြေပုံ,-,ပြပေး
-,မြေပုံကို,-,ပြပါ
-,မြေပုံကို,-,သွား
-,မြေပုံကို,-,သွားပါ
-,မြေပုံကို,-,သွားပေး
-,မြေပုံ,-,သွားပေး
-,မြေပုံ,-,သွားပေးပါ
-,မြေပုံကို,-,သွားပေးပါ
-,မြေပုံ,-,ပြပေးပါဦး
-,မြေပုံကို,-,ပြပေးပါ
-,မြေပုံကို,-,ပြပေးပါဦး
-,မြေပုံ,-,ပြပါ
-,မြေပုံ,-,ပြပေး
-,မြေပုံကို,-,ပြပေး
-,မြေပုံ,-,ပြ
-,မြေပုံကို,-,ပြ
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပါ
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြ
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပေးပါဦး
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပေးပါ
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံကို,-,ပြပေးပါဦး
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပါ
ငါ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပေး
-,စစ်ဆင်ရေးမြေပုံကို,-,ပြပါ
-,စစ်ဆင်ရေးမြေပုံကို,-,သွား
-,စစ်ဆင်ရေးမြေပုံကို,-,သွားပါ
-,စစ်ဆင်ရေးမြေပုံကို,-,သွားပေး
-,စစ်ဆင်ရေးမြေပုံ,-,သွားပေး
-,စစ်ဆင်ရေးမြေပုံ,-,သွားပေးပါ
-,စစ်ဆင်ရေးမြေပုံကို,-,သွားပေးပါ
-,စစ်ဆင်ရေးမြေပုံ,-,ပြပေးပါဦး
-,စစ်ဆင်ရေးမြေပုံကို,-,ပြပေးပါ
-,စစ်ဆင်ရေးမြေပုံကို,-,ပြပေးပါဦး
-,စစ်ဆင်ရေးမြေပုံ,-,ပြပါ
-,စစ်ဆင်ရေးမြေပုံ,-,ပြပေး
-,စစ်ဆင်ရေးမြေပုံကို,-,ပြပေး
-,စစ်ဆင်ရေးမြေပုံ,-,ပြ
-,စစ်ဆင်ရေးမြေပုံကို,-,ပြ
-,အကွာအဝေး,-,တိုင်းပေးပါ
-,အကွာအဝေး,-,တိုင်းပေး
-,အကွာအဝေး,-,တိုင်း
-,တပ်တည်,-,ရှာ
-,တပ်တည်,-,ရှာပေး
-,တပ်တည်,-,ရှာပေးပါ
-,တပ်တည်နေရာ,-,ရှာပေးပါ
-,တပ်တည်နေရာ,-,ရှာပေး
-,တပ်တည်နေရာ,-,ရှာ
-,တည်နေရာ,-,ရှာပေးပါ
-,တည်နေရာ,-,ရှာပေး
-,တည်နေရာ,-,ရှာ
-,အကွာအဝေးကို,-,တိုင်းပေးပါ
-,အကွာအဝေးကို,-,တိုင်းပေး
-,အကွာအဝေးကို,-,တိုင်း
-,တပ်တည်ကို,-,ရှာ
-,တပ်တည်ကို,-,ရှာပေး
-,တပ်တည်ကို,-,ရှာပေးပါ
-,တပ်တည်နေရာကို,-,ရှာပေးပါ
-,တပ်တည်နေရာကို,-,ရှာပေး
-,တပ်တည်နေရာကို,-,ရှာ
-,တည်နေရာကို,-,ရှာပေးပါ
-,တည်နေရာကို,-,ရှာပေး
-,တည်နေရာကို,-,ရှာ
စစ်တက္ကသိုလ် ရဲ့,တည်နေရာကို,-,ရှာပေး
စစ်တက္ကသိုလ်,တည်နေရာကို,-,ရှာပေး
စစ်တက္ကသိုလ် ရဲ့,နေရာကို,-,ရှာပေး
စစ်တက္ကသိုလ်,နေရာကို,-,ရှာပေး
စစ်တက္ကသိုလ် ရဲ့,နေရာ,-,ရှာပေး
စစ်တက္ကသိုလ်,နေရာ,-,ရှာပေး
စစ်တက္ကသိုလ် ရဲ့,နေရာ,-,ပြပေး
စစ်တက္ကသိုလ် ,နေရာ,-,ပြပေး
စစ်တက္ကသိုလ် ရဲ့,နေရာကို,-,ပြပေး
စစ်တက္ကသိုလ် ,နေရာကို,-,ပြပေး
စစ်တက္ကသိုလ် ကို,-,-,ရှာပေး
စစ်တက္ကသိုလ် ကို,-,-,ပြပေး
စစ်တက္ကသိုလ် ကို,-,-,ပြ
စစ်တက္ကသိုလ်,-,-,ပြ
စစ်တက္ကသိုလ်,-,-,ပြပေး
စစ်တက္ကသိုလ်,-,-,ရှာပေး
စစ်တက္ကသိုလ်,-,-,ရှာ
စစ်တက္ကသိုလ် ကို,-,-,ရှာ
စစ်တက္ကသိုလ် က,-,-,ဘယ်မှာလဲ
စစ်တက္ကသိုလ်,-,-,ဘယ်မှာလဲ
ခလရ၁ ရဲ့,တည်နေရာကို,-,ရှာပေး
ခလရ၁,တည်နေရာကို,-,ရှာပေး
ခလရ၁ ရဲ့,နေရာကို,-,ရှာပေး
ခလရ၁,နေရာကို,-,ရှာပေး
ခလရ၁ ရဲ့,နေရာ,-,ရှာပေး
ခလရ၁,နေရာ,-,ရှာပေး
ခလရ၁ ရဲ့,နေရာ,-,ပြပေး
ခလရ၁ ,နေရာ,-,ပြပေး
ခလရ၁ ရဲ့,နေရာကို,-,ပြပေး
ခလရ၁ ,နေရာကို,-,ပြပေး
ခလရ၁ ကို,-,-,ရှာပေး
ခလရ၁ ကို,-,-,ပြပေး
ခလရ၁,-,-,ပြပေး
ခလရ၁,-,-,ရှာပေး
ခလရ၁ ကို,-,-,ရှာ
ခလရ၁ က,-,-,ဘယ်မှာလဲ
ခလရ၁,-,-,ဘယ်မှာလဲ
ခမရ၁ ရဲ့,တည်နေရာကို,-,ရှာပေး
ခမရ၁,တည်နေရာကို,-,ရှာပေး
ခမရ၁ ရဲ့,နေရာကို,-,ရှာပေး
ခမရ၁,နေရာကို,-,ရှာပေး
ခမရ၁ ရဲ့,နေရာ,-,ရှာပေး
ခမရ၁,နေရာ,-,ရှာပေး
ခမရ၁ ရဲ့,နေရာ,-,ပြပေး
ခမရ၁ ,နေရာ,-,ပြပေး
ခမရ၁ ရဲ့,နေရာကို,-,ပြပေး
ခမရ၁ ,နေရာကို,-,ပြပေး
ခမရ၁ ကို,-,-,ရှာပေး
ခမရ၁ ကို,-,-,ပြပေး
ခမရ၁,-,-,ပြပေး
ခမရ၁,-,-,ရှာပေး
ခမရ၁,-,-,ရှာ
ခမရ၁ ကို,-,-,ရှာ
ခမရ၁ က,-,-,ဘယ်မှာလဲ
ခမရ၁,-,-,ဘယ်မှာလဲ
အထက၁ ရဲ့,တည်နေရာကို,-,ရှာပေး
အထက၁,တည်နေရာကို,-,ရှာပေး
အထက၁ ရဲ့,နေရာကို,-,ရှာပေး
အထက၁,နေရာကို,-,ရှာပေး
အထက၁ ရဲ့,နေရာ,-,ရှာပေး
အထက၁,နေရာ,-,ရှာပေး
အထက၁ ရဲ့,နေရာ,-,ပြပေး
အထက၁ ,နေရာ,-,ပြပေး
အထက၁ ရဲ့,နေရာကို,-,ပြပေး
အထက၁ ,နေရာကို,-,ပြပေး
အထက၁ ကို,-,-,ရှာပေး
အထက၁ ကို,-,-,ပြပေး
အထက၁ ကို,-,-,ပြ
အထက၁,-,-,ပြ
အထက၁,-,-,ပြပေး
အထက၁,-,-,ရှာပေး
အထက၁ ကို,-,-,ရှာ
အထက၁,-,-,ရှာ
အထက၁ က,-,-,ဘယ်မှာလဲ
အထက၁,-,-,ဘယ်မှာလဲ
မြို့မရဲစခန်း ရဲ့,တည်နေရာကို,-,ရှာပေး
မြို့မရဲစခန်း,တည်နေရာကို,-,ရှာပေး
မြို့မရဲစခန်း ရဲ့,နေရာကို,-,ရှာပေး
မြို့မရဲစခန်း,နေရာကို,-,ရှာပေး
မြို့မရဲစခန်း ရဲ့,နေရာ,-,ရှာပေး
မြို့မရဲစခန်း,နေရာ,-,ရှာပေး
မြို့မရဲစခန်း ရဲ့,နေရာ,-,ပြပေး
မြို့မရဲစခန်း ,နေရာ,-,ပြပေး
မြို့မရဲစခန်း ရဲ့,နေရာကို,-,ပြပေး
မြို့မရဲစခန်း ,နေရာကို,-,ပြပေး
မြို့မရဲစခန်း ကို,-,-,ရှာပေး
မြို့မရဲစခန်း ကို,-,-,ပြပေး
မြို့မရဲစခန်း ကို,-,-,ပြ
မြို့မရဲစခန်း,-,-,ပြ
မြို့မရဲစခန်း,-,-,ပြပေး
မြို့မရဲစခန်း,-,-,ရှာပေး
မြို့မရဲစခန်း ကို,-,-,ရှာ
မြို့မရဲစခန်း,-,-,ရှာ
မြို့မရဲစခန်း က,-,-,ဘယ်မှာလဲ
မြို့မရဲစခန်း,-,-,ဘယ်မှာလဲ
အနီးစခန်း ရဲ့,တည်နေရာကို,-,ရှာပေး
အနီးစခန်း,တည်နေရာကို,-,ရှာပေး
အနီးစခန်း ရဲ့,နေရာကို,-,ရှာပေး
အနီးစခန်း,နေရာကို,-,ရှာပေး
အနီးစခန်း ရဲ့,နေရာ,-,ရှာပေး
အနီးစခန်း,နေရာ,-,ရှာပေး
အနီးစခန်း ရဲ့,နေရာ,-,ပြပေး
အနီးစခန်း ,နေရာ,-,ပြပေး
အနီးစခန်း ရဲ့,နေရာကို,-,ပြပေး
အနီးစခန်း ,နေရာကို,-,ပြပေး
အနီးစခန်း ကို,-,-,ရှာပေး
အနီးစခန်း ကို,-,-,ပြပေး
အနီးစခန်း ကို,-,-,ပြ
အနီးစခန်း,-,-,ပြ
အနီးစခန်း,-,-,ပြပေး
အနီးစခန်း,-,-,ရှာပေး
အနီးစခန်း ကို,-,-,ရှာ
အနီးစခန်း,-,-,ရှာ
အနီးစခန်း က,-,-,ဘယ်မှာလဲ
အနီးစခန်း,-,-,ဘယ်မှာလဲ
ရတနာပုံနည်းပညာတက္ကသိုလ် ရဲ့,တည်နေရာကို,-,ရှာပေး
ရတနာပုံနည်းပညာတက္ကသိုလ်,တည်နေရာကို,-,ရှာပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ရဲ့,နေရာကို,-,ရှာပေး
ရတနာပုံနည်းပညာတက္ကသိုလ်,နေရာကို,-,ရှာပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ရဲ့,နေရာ,-,ရှာပေး
ရတနာပုံနည်းပညာတက္ကသိုလ်,နေရာ,-,ရှာပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ရဲ့,နေရာ,-,ပြပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ,နေရာ,-,ပြပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ရဲ့,နေရာကို,-,ပြပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ,နေရာကို,-,ပြပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ကို,-,-,ရှာပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ကို,-,-,ပြပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ကို,-,-,ပြ
ရတနာပုံနည်းပညာတက္ကသိုလ်,-,-,ပြ
ရတနာပုံနည်းပညာတက္ကသိုလ်,-,-,ပြပေး
ရတနာပုံနည်းပညာတက္ကသိုလ်,-,-,ရှာပေး
ရတနာပုံနည်းပညာတက္ကသိုလ် ကို,-,-,ရှာ
ရတနာပုံနည်းပညာတက္ကသိုလ်,-,-,ရှာ
ရတနာပုံနည်းပညာတက္ကသိုလ် က,-,-,ဘယ်မှာလဲ
ရတနာပုံနည်းပညာတက္ကသိုလ်,-,-,ဘယ်မှာလဲ
နှစ်ဆယ့်တစ်မိုင် ရဲ့,တည်နေရာကို,-,ရှာပေး
နှစ်ဆယ့်တစ်မိုင်,တည်နေရာကို,-,ရှာပေး
နှစ်ဆယ့်တစ်မိုင် ရဲ့,နေရာကို,-,ရှာပေး
နှစ်ဆယ့်တစ်မိုင်,နေရာကို,-,ရှာပေး
နှစ်ဆယ့်တစ်မိုင် ရဲ့,နေရာ,-,ရှာပေး
နှစ်ဆယ့်တစ်မိုင်,နေရာ,-,ရှာပေး
နှစ်ဆယ့်တစ်မိုင် ရဲ့,နေရာ,-,ပြပေး
နှစ်ဆယ့်တစ်မိုင် ,နေရာ,-,ပြပေး
နှစ်ဆယ့်တစ်မိုင် ရဲ့,နေရာကို,-,ပြပေး
နှစ်ဆယ့်တစ်မိုင် ,နေရာကို,-,ပြပေး
နှစ်ဆယ့်တစ်မိုင် ကို,-,-,ရှာပေး
နှစ်ဆယ့်တစ်မိုင် ကို,-,-,ပြပေး
နှစ်ဆယ့်တစ်မိုင် ကို,-,-,ပြ
နှစ်ဆယ့်တစ်မိုင်,-,-,ပြ
နှစ်ဆယ့်တစ်မိုင်,-,-,ပြပေး
နှစ်ဆယ့်တစ်မိုင်,-,-,ရှာပေး
နှစ်ဆယ့်တစ်မိုင် ကို,-,-,ရှာ
နှစ်ဆယ့်တစ်မိုင်,-,-,ရှာ
နှစ်ဆယ့်တစ်မိုင် က,-,-,ဘယ်မှာလဲ
နှစ်ဆယ့်တစ်မိုင်,-,-,ဘယ်မှာလဲ
မန္တလေးနန်းတော် ရဲ့,တည်နေရာကို,-,ရှာပေး
မန္တလေးနန်းတော်,တည်နေရာကို,-,ရှာပေး
မန္တလေးနန်းတော် ရဲ့,နေရာကို,-,ရှာပေး
မန္တလေးနန်းတော်,နေရာကို,-,ရှာပေး
မန္တလေးနန်းတော် ရဲ့,နေရာ,-,ရှာပေး
မန္တလေးနန်းတော်,နေရာ,-,ရှာပေး
မန္တလေးနန်းတော် ရဲ့,နေရာ,-,ပြပေး
မန္တလေးနန်းတော် ,နေရာ,-,ပြပေး
မန္တလေးနန်းတော် ရဲ့,နေရာကို,-,ပြပေး
မန္တလေးနန်းတော် ,နေရာကို,-,ပြပေး
မန္တလေးနန်းတော် ကို,-,-,ရှာပေး
မန္တလေးနန်းတော် ကို,-,-,ပြပေး
မန္တလေးနန်းတော် ကို,-,-,ပြ
မန္တလေးနန်းတော်,-,-,ပြ
မန္တလေးနန်းတော်,-,-,ပြပေး
မန္တလေးနန်းတော်,-,-,ရှာပေး
မန္တလေးနန်းတော် ကို,-,-,ရှာ
မန္တလေးနန်းတော်,-,-,ရှာ
မန္တလေးနန်းတော် က,-,-,ဘယ်မှာလဲ
မန္တလေးနန်းတော်,-,-,ဘယ်မှာလဲ
မန္တလေး ရဲ့,တည်နေရာကို,-,ရှာပေး
မန္တလေး,တည်နေရာကို,-,ရှာပေး
မန္တလေး ရဲ့,နေရာကို,-,ရှာပေး
မန္တလေး,နေရာကို,-,ရှာပေး
မန္တလေး ရဲ့,နေရာ,-,ရှာပေး
